テーブル,存在,行数,最古日,最新日,日付種類数,本検証日数,9の日,通常日,判定,備考
daily_data,○,32405,2025-12-12,2026-08-12,244,165,16,149,◎,元データ。過去日の再構築基盤として使用可能
machine_history_analysis,○,176,,,0,0,0,0,△,日付列なし
machine_pattern_analysis,○,1936,2026-08-02,2026-08-12,11,11,1,10,△,日付情報不足
island_analysis,○,34,2026-08-02,2026-08-09,2,2,1,1,◎,daily_dataから島単位集計を再構築可能
machine_holdover_analysis,○,176,,,0,0,0,0,△,日付列なし
weekday_analysis,○,7,,,0,0,0,0,△,日付列なし
number_tail_analysis,○,10,,,0,0,0,0,△,日付列なし
store_condition_analysis,○,11,2026-08-01,2026-08-12,11,11,1,10,○,日付あり。再構築ロジック確認が必要
alignment_analysis,○,77,2026-08-01,2026-08-12,11,11,1,10,◎,daily_dataから並び候補を再構築可能性あり
alignment_history_analysis,○,140,,,0,0,0,0,△,日付列なし
alignment_history,○,908,2025-12-12,2026-08-12,193,150,16,134,○,過去データから再計算可能性あり。ただし履歴ロジック確認が必要
