日付,島,現在島台数,記録台数,記録率,◎台数,○台数,△台数,◎率,○以上率,△以上率,現行判定
2025-12-19,ガール島,10,9,90.0,3,5,1,30.0,80.0,90.0,STRONG
2025-12-19,ゴー島①,10,5,50.0,1,3,1,10.0,40.0,50.0,
2025-12-19,ゴー島②,10,6,60.0,1,3,2,10.0,40.0,60.0,
2025-12-19,ネオアイム島②,8,2,25.0,0,1,1,0.0,12.5,25.0,
2025-12-19,ネオアイム島③,8,1,12.5,0,1,0,0.0,12.5,12.5,
2025-12-19,ネオアイム島④,12,2,16.67,0,1,1,0.0,8.33,16.67,
2025-12-19,ネオアイム島⑤,12,4,33.33,0,0,4,0.0,0.0,33.33,
2025-12-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2025-12-19,ハッピ島,8,3,37.5,0,0,3,0.0,0.0,37.5,
2025-12-19,ファン島①,10,3,30.0,1,0,2,10.0,10.0,30.0,
2025-12-19,ファン島②,10,6,60.0,1,0,5,10.0,10.0,60.0,
2025-12-19,マイジャグ島A,15,3,20.0,0,1,2,0.0,6.67,20.0,
2025-12-19,マイジャグ島B,10,1,10.0,0,0,1,0.0,0.0,10.0,
2025-12-19,マイジャグ島C,10,0,0.0,0,0,0,0.0,0.0,0.0,
2025-12-19,マイジャグ島D,15,6,40.0,2,2,2,13.33,26.67,40.0,
2025-12-19,ミスタ島,10,5,50.0,1,1,3,10.0,20.0,50.0,
2025-12-19,ミラクル島,10,6,60.0,1,2,3,10.0,30.0,60.0,
2025-12-29,ガール島,10,6,60.0,2,1,3,20.0,30.0,60.0,
2025-12-29,ゴー島①,10,9,90.0,1,0,8,10.0,10.0,90.0,STRONG
2025-12-29,ゴー島②,10,4,40.0,1,1,2,10.0,20.0,40.0,
2025-12-29,ネオアイム島②,8,3,37.5,0,1,2,0.0,12.5,37.5,
2025-12-29,ネオアイム島③,8,3,37.5,0,0,3,0.0,0.0,37.5,
2025-12-29,ネオアイム島④,12,3,25.0,0,1,2,0.0,8.33,25.0,
2025-12-29,ネオアイム島⑤,12,3,25.0,0,1,2,0.0,8.33,25.0,
2025-12-29,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2025-12-29,ハッピ島,8,8,100.0,2,3,3,25.0,62.5,100.0,STRONG
2025-12-29,ファン島①,10,1,10.0,0,1,0,0.0,10.0,10.0,
2025-12-29,ファン島②,10,5,50.0,2,1,2,20.0,30.0,50.0,
2025-12-29,マイジャグ島A,15,4,26.67,2,1,1,13.33,20.0,26.67,
2025-12-29,マイジャグ島B,10,3,30.0,1,0,2,10.0,10.0,30.0,
2025-12-29,マイジャグ島C,10,4,40.0,2,0,2,20.0,20.0,40.0,
2025-12-29,マイジャグ島D,15,4,26.67,0,2,2,0.0,13.33,26.67,
2025-12-29,ミスタ島,10,6,60.0,2,2,2,20.0,40.0,60.0,
2025-12-29,ミラクル島,10,2,20.0,0,0,2,0.0,0.0,20.0,
2026-01-09,ガール島,10,6,60.0,2,0,4,20.0,20.0,60.0,
2026-01-09,ゴー島①,10,5,50.0,0,1,4,0.0,10.0,50.0,
2026-01-09,ゴー島②,10,6,60.0,2,3,1,20.0,50.0,60.0,
2026-01-09,ネオアイム島②,8,5,62.5,0,2,3,0.0,25.0,62.5,
2026-01-09,ネオアイム島③,8,6,75.0,0,0,6,0.0,0.0,75.0,CANDIDATE
2026-01-09,ネオアイム島④,12,4,33.33,1,0,3,8.33,8.33,33.33,
2026-01-09,ネオアイム島⑤,12,2,16.67,0,0,2,0.0,0.0,16.67,
2026-01-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-01-09,ハッピ島,8,3,37.5,0,0,3,0.0,0.0,37.5,
2026-01-09,ファン島①,10,1,10.0,0,0,1,0.0,0.0,10.0,
2026-01-09,ファン島②,10,10,100.0,4,2,4,40.0,60.0,100.0,STRONG
2026-01-09,マイジャグ島A,15,8,53.33,2,0,6,13.33,13.33,53.33,
2026-01-09,マイジャグ島B,10,3,30.0,0,1,2,0.0,10.0,30.0,
2026-01-09,マイジャグ島C,10,5,50.0,1,0,4,10.0,10.0,50.0,
2026-01-09,マイジャグ島D,15,5,33.33,0,0,5,0.0,0.0,33.33,
2026-01-09,ミスタ島,10,2,20.0,0,2,0,0.0,20.0,20.0,
2026-01-09,ミラクル島,10,5,50.0,1,1,3,10.0,20.0,50.0,
2026-01-19,ガール島,10,7,70.0,1,3,3,10.0,40.0,70.0,CANDIDATE
2026-01-19,ゴー島①,10,8,80.0,2,2,4,20.0,40.0,80.0,STRONG
2026-01-19,ゴー島②,10,9,90.0,1,3,5,10.0,40.0,90.0,STRONG
2026-01-19,ネオアイム島②,8,4,50.0,0,1,3,0.0,12.5,50.0,
2026-01-19,ネオアイム島③,8,4,50.0,0,1,3,0.0,12.5,50.0,
2026-01-19,ネオアイム島④,12,7,58.33,0,0,7,0.0,0.0,58.33,
2026-01-19,ネオアイム島⑤,12,2,16.67,0,1,1,0.0,8.33,16.67,
2026-01-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-01-19,ハッピ島,8,3,37.5,1,1,1,12.5,25.0,37.5,
2026-01-19,ファン島①,10,10,100.0,3,3,4,30.0,60.0,100.0,STRONG
2026-01-19,ファン島②,10,10,100.0,4,3,3,40.0,70.0,100.0,STRONG
2026-01-19,マイジャグ島A,15,6,40.0,2,1,3,13.33,20.0,40.0,
2026-01-19,マイジャグ島B,10,0,0.0,0,0,0,0.0,0.0,0.0,
2026-01-19,マイジャグ島C,10,4,40.0,0,0,4,0.0,0.0,40.0,
2026-01-19,マイジャグ島D,15,7,46.67,1,2,4,6.67,20.0,46.67,
2026-01-19,ミスタ島,10,5,50.0,1,1,3,10.0,20.0,50.0,
2026-01-19,ミラクル島,10,6,60.0,1,1,4,10.0,20.0,60.0,
2026-01-29,ガール島,10,4,40.0,0,2,2,0.0,20.0,40.0,
2026-01-29,ゴー島①,10,7,70.0,1,3,3,10.0,40.0,70.0,CANDIDATE
2026-01-29,ゴー島②,10,6,60.0,3,0,3,30.0,30.0,60.0,
2026-01-29,ネオアイム島②,8,8,100.0,1,2,5,12.5,37.5,100.0,STRONG
2026-01-29,ネオアイム島③,8,9,112.5,4,3,2,50.0,87.5,112.5,STRONG
2026-01-29,ネオアイム島④,12,9,75.0,2,3,4,16.67,41.67,75.0,CANDIDATE
2026-01-29,ネオアイム島⑤,12,7,58.33,1,3,3,8.33,33.33,58.33,
2026-01-29,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-01-29,ハッピ島,8,4,50.0,0,2,2,0.0,25.0,50.0,
2026-01-29,ファン島①,10,7,70.0,2,1,4,20.0,30.0,70.0,CANDIDATE
2026-01-29,ファン島②,10,4,40.0,2,0,2,20.0,20.0,40.0,
2026-01-29,マイジャグ島A,15,4,26.67,0,0,4,0.0,0.0,26.67,
2026-01-29,マイジャグ島B,10,3,30.0,0,2,1,0.0,20.0,30.0,
2026-01-29,マイジャグ島C,10,2,20.0,0,0,2,0.0,0.0,20.0,
2026-01-29,マイジャグ島D,15,5,33.33,0,0,5,0.0,0.0,33.33,
2026-01-29,ミスタ島,10,10,100.0,7,1,2,70.0,80.0,100.0,STRONG
2026-01-29,ミラクル島,10,7,70.0,1,2,4,10.0,30.0,70.0,CANDIDATE
2026-02-09,ガール島,10,4,40.0,2,2,0,20.0,40.0,40.0,
2026-02-09,ゴー島①,10,9,90.0,1,4,4,10.0,50.0,90.0,STRONG
2026-02-09,ゴー島②,10,4,40.0,1,0,3,10.0,10.0,40.0,
2026-02-09,ネオアイム島②,8,3,37.5,0,1,2,0.0,12.5,37.5,
2026-02-09,ネオアイム島③,8,2,25.0,0,1,1,0.0,12.5,25.0,
2026-02-09,ネオアイム島④,12,7,58.33,1,2,4,8.33,25.0,58.33,
2026-02-09,ネオアイム島⑤,12,0,0.0,0,0,0,0.0,0.0,0.0,
2026-02-09,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-02-09,ハッピ島,8,8,100.0,4,1,3,50.0,62.5,100.0,STRONG
2026-02-09,ファン島①,10,4,40.0,1,0,3,10.0,10.0,40.0,
2026-02-09,ファン島②,10,4,40.0,1,0,3,10.0,10.0,40.0,
2026-02-09,マイジャグ島A,15,3,20.0,0,1,2,0.0,6.67,20.0,
2026-02-09,マイジャグ島B,10,4,40.0,0,0,4,0.0,0.0,40.0,
2026-02-09,マイジャグ島C,10,3,30.0,0,0,3,0.0,0.0,30.0,
2026-02-09,マイジャグ島D,15,6,40.0,2,1,3,13.33,20.0,40.0,
2026-02-09,ミスタ島,10,7,70.0,1,2,4,10.0,30.0,70.0,CANDIDATE
2026-02-09,ミラクル島,10,3,30.0,0,0,3,0.0,0.0,30.0,
2026-02-19,ガール島,10,10,100.0,5,3,2,50.0,80.0,100.0,STRONG
2026-02-19,ゴー島①,10,5,50.0,1,1,3,10.0,20.0,50.0,
2026-02-19,ゴー島②,10,8,80.0,2,1,5,20.0,30.0,80.0,STRONG
2026-02-19,ネオアイム島②,8,3,37.5,0,0,3,0.0,0.0,37.5,
2026-02-19,ネオアイム島③,8,4,50.0,0,0,4,0.0,0.0,50.0,
2026-02-19,ネオアイム島④,12,3,25.0,0,0,3,0.0,0.0,25.0,
2026-02-19,ネオアイム島⑤,12,2,16.67,0,0,2,0.0,0.0,16.67,
2026-02-19,ネオアイム島⑥,8,0,0.0,0,0,0,0.0,0.0,0.0,
2026-02-19,ハッピ島,8,5,62.5,0,1,4,0.0,12.5,62.5,
2026-02-19,ファン島①,10,4,40.0,0,1,3,0.0,10.0,40.0,
2026-02-19,ファン島②,10,2,20.0,0,0,2,0.0,0.0,20.0,
2026-02-19,マイジャグ島A,15,6,40.0,1,0,5,6.67,6.67,40.0,
2026-02-19,マイジャグ島B,10,1,10.0,0,0,1,0.0,0.0,10.0,
2026-02-19,マイジャグ島C,10,6,60.0,1,1,4,10.0,20.0,60.0,
2026-02-19,マイジャグ島D,15,1,6.67,0,0,1,0.0,0.0,6.67,
