日付,島,台数,◎率,○以上率,△以上率,R1_現行strong,R2_○重視,R3_○＋◎,R4_強め,R5_かなり強め,R6_◎重視
2025-12-19,ガール島,10,30.0,80.0,90.0,1,1,1,0,1,0
2025-12-19,ゴー島①,10,10.0,40.0,50.0,0,0,0,0,0,0
2025-12-19,ゴー島②,10,10.0,40.0,60.0,0,0,0,0,0,0
2025-12-19,ネオアイム島①,8,0.0,12.5,37.5,0,0,0,0,0,0
2025-12-19,ネオアイム島②,8,0.0,12.5,25.0,0,0,0,0,0,0
2025-12-19,ネオアイム島③,12,0.0,8.333333333333332,8.333333333333332,0,0,0,0,0,0
2025-12-19,ネオアイム島④,12,0.0,8.333333333333332,16.666666666666664,0,0,0,0,0,0
2025-12-19,ネオアイム島⑤,8,0.0,0.0,50.0,0,0,0,0,0,0
2025-12-19,ハッピ島,8,0.0,0.0,37.5,0,0,0,0,0,0
2025-12-19,ファン島①,10,10.0,10.0,30.0,0,0,0,0,0,0
2025-12-19,ファン島②,10,10.0,10.0,60.0,0,0,0,0,0,0
2025-12-19,マイジャグ島A,15,0.0,6.666666666666667,20.0,0,0,0,0,0,0
2025-12-19,マイジャグ島B,10,0.0,0.0,10.0,0,0,0,0,0,0
2025-12-19,マイジャグ島C,10,0.0,0.0,0.0,0,0,0,0,0,0
2025-12-19,マイジャグ島D,15,13.333333333333334,26.666666666666668,40.0,0,0,0,0,0,0
2025-12-19,ミスタ島,10,10.0,20.0,50.0,0,0,0,0,0,0
2025-12-19,ミラクル島,10,10.0,30.0,60.0,0,0,0,0,0,0
2025-12-29,ガール島,10,20.0,30.0,60.0,0,0,0,0,0,0
2025-12-29,ゴー島①,10,10.0,10.0,90.0,1,0,0,0,0,0
2025-12-29,ゴー島②,10,10.0,20.0,40.0,0,0,0,0,0,0
2025-12-29,ネオアイム島①,8,0.0,0.0,12.5,0,0,0,0,0,0
2025-12-29,ネオアイム島②,8,0.0,12.5,37.5,0,0,0,0,0,0
