日付,営業日タイプ,島,台数,平均G数,平均合成確率,◎台数,○以上台数,△以上台数,◎率,○以上率,△以上率,実績スコア,判定,強い全台系フラグ,候補フラグ
2026-03-09,9の日,ガール島,10,6602.5,174.25,1,1,4,10.0,10.0,40.0,16.0,通常,0,0
2026-03-09,9の日,ゴー島①,10,9258.3,116.07,7,10,10,70.0,100.0,100.0,85.0,強い全台系,1,1
2026-03-09,9の日,ゴー島②,10,6725.1,155.0,2,4,6,20.0,40.0,60.0,34.0,通常,0,0
2026-03-09,9の日,ネオアイム島①,8,6409.38,178.8,0,1,3,0.0,12.5,37.5,11.25,通常,0,0
2026-03-09,9の日,ネオアイム島②,8,7531.0,149.04,2,3,4,25.0,37.5,50.0,33.75,通常,0,0
2026-03-09,9の日,ネオアイム島③,12,6723.33,166.07,2,3,5,16.67,25.0,41.67,24.17,通常,0,0
2026-03-09,9の日,ネオアイム島④,12,6585.08,178.93,0,0,3,0.0,0.0,25.0,5.0,通常,0,0
2026-03-09,9の日,ネオアイム島⑤,8,6238.25,191.78,0,1,2,0.0,12.5,25.0,8.75,通常,0,0
2026-03-09,9の日,ハッピ島,8,6579.75,152.0,0,1,2,0.0,12.5,25.0,8.75,通常,0,0
2026-03-09,9の日,ファン島①,10,7083.8,177.95,0,3,3,0.0,30.0,30.0,15.0,通常,0,0
2026-03-09,9の日,ファン島②,10,6444.5,175.06,1,1,3,10.0,10.0,30.0,14.0,通常,0,0
2026-03-09,9の日,マイジャグ島A,15,7008.93,167.16,1,2,6,6.67,13.33,40.0,15.33,通常,0,0
2026-03-09,9の日,マイジャグ島B,10,7783.5,150.69,2,3,4,20.0,30.0,40.0,27.0,通常,0,0
2026-03-09,9の日,マイジャグ島C,10,7611.0,149.37,1,1,5,10.0,10.0,50.0,18.0,通常,0,0
2026-03-09,9の日,マイジャグ島D,15,7166.07,159.09,1,1,6,6.67,6.67,40.0,13.33,通常,0,0
2026-03-09,9の日,ミスタ島,10,6735.5,148.66,1,1,5,10.0,10.0,50.0,18.0,通常,0,0
2026-03-09,9の日,ミラクル島,10,7589.4,156.52,1,3,5,10.0,30.0,50.0,24.0,通常,0,0
2026-03-19,9の日,ガール島,10,6714.8,151.27,4,4,4,40.0,40.0,40.0,40.0,全台系候補,0,1
2026-03-19,9の日,ゴー島①,10,6124.5,154.91,1,2,3,10.0,20.0,30.0,17.0,通常,0,0
2026-03-19,9の日,ゴー島②,10,6530.0,143.96,2,4,4,20.0,40.0,40.0,30.0,通常,0,0
2026-03-19,9の日,ネオアイム島①,8,6056.62,144.57,1,3,6,12.5,37.5,75.0,32.5,通常,0,0
2026-03-19,9の日,ネオアイム島②,8,5723.75,152.88,1,1,4,12.5,12.5,50.0,20.0,通常,0,0
2026-03-19,9の日,ネオアイム島③,12,6740.25,157.87,1,4,4,8.33,33.33,33.33,20.83,通常,0,0
2026-03-19,9の日,ネオアイム島④,12,6195.25,150.24,4,5,7,33.33,41.67,58.33,40.83,通常,0,0
2026-03-19,9の日,ネオアイム島⑤,8,6362.0,166.01,0,0,2,0.0,0.0,25.0,5.0,通常,0,0
2026-03-19,9の日,ハッピ島,8,8894.0,132.02,3,5,7,37.5,62.5,87.5,55.0,全台系候補,0,1
2026-03-19,9の日,ファン島①,10,7194.9,183.22,0,2,5,0.0,20.0,50.0,16.0,通常,0,0
2026-03-19,9の日,ファン島②,10,7532.2,147.92,1,4,5,10.0,40.0,50.0,27.0,通常,0,0
2026-03-19,9の日,マイジャグ島A,15,7562.87,150.52,1,4,7,6.67,26.67,46.67,20.67,通常,0,0
2026-03-19,9の日,マイジャグ島B,10,7511.3,147.55,0,3,5,0.0,30.0,50.0,19.0,通常,0,0
2026-03-19,9の日,マイジャグ島C,10,6879.2,156.47,0,2,4,0.0,20.0,40.0,14.0,通常,0,0
2026-03-19,9の日,マイジャグ島D,15,7488.73,161.85,2,2,5,13.33,13.33,33.33,17.33,通常,0,0
2026-03-19,9の日,ミスタ島,10,7052.6,153.26,1,2,4,10.0,20.0,40.0,19.0,通常,0,0
2026-03-19,9の日,ミラクル島,10,8052.4,145.38,1,2,5,10.0,20.0,50.0,21.0,通常,0,0
2026-03-29,9の日,ガール島,10,8084.3,151.92,2,2,4,20.0,20.0,40.0,24.0,通常,0,0
2026-03-29,9の日,ゴー島①,10,6649.1,156.35,1,2,3,10.0,20.0,30.0,17.0,通常,0,0
2026-03-29,9の日,ゴー島②,10,6518.4,145.97,2,3,4,20.0,30.0,40.0,27.0,通常,0,0
2026-03-29,9の日,ネオアイム島①,8,6148.12,170.49,0,0,1,0.0,0.0,12.5,2.5,通常,0,0
2026-03-29,9の日,ネオアイム島②,8,6146.62,168.0,0,0,2,0.0,0.0,25.0,5.0,通常,0,0
2026-03-29,9の日,ネオアイム島③,12,6058.42,174.65,0,1,2,0.0,8.33,16.67,5.83,通常,0,0
