日付,島,current_machines,observed_count,unrecorded_count,high_count,high_rate,strong,candidate
2025-12-19,ガール島,10,9,1,9,90.0,1,1
2025-12-19,ゴー島①,10,5,5,5,50.0,0,0
2025-12-19,ゴー島②,10,6,4,6,60.0,0,0
2025-12-19,ネオアイム島①,8,3,5,3,37.5,0,0
2025-12-19,ネオアイム島②,8,2,6,2,25.0,0,0
2025-12-19,ネオアイム島③,12,1,11,1,8.333333333333332,0,0
2025-12-19,ネオアイム島④,12,2,10,2,16.666666666666664,0,0
2025-12-19,ネオアイム島⑤,8,4,4,4,50.0,0,0
2025-12-19,ハッピ島,8,3,5,3,37.5,0,0
2025-12-19,ファン島①,10,3,7,3,30.0,0,0
2025-12-19,ファン島②,10,6,4,6,60.0,0,0
2025-12-19,マイジャグ島A,15,3,12,3,20.0,0,0
2025-12-19,マイジャグ島B,10,1,9,1,10.0,0,0
2025-12-19,マイジャグ島C,10,0,10,0,0.0,0,0
2025-12-19,マイジャグ島D,15,6,9,6,40.0,0,0
2025-12-19,ミスタ島,10,5,5,5,50.0,0,0
2025-12-19,ミラクル島,10,6,4,6,60.0,0,0
2025-12-29,ガール島,10,6,4,6,60.0,0,0
2025-12-29,ゴー島①,10,9,1,9,90.0,1,1
2025-12-29,ゴー島②,10,4,6,4,40.0,0,0
2025-12-29,ネオアイム島①,8,1,7,1,12.5,0,0
2025-12-29,ネオアイム島②,8,3,5,3,37.5,0,0
2025-12-29,ネオアイム島③,12,3,9,3,25.0,0,0
2025-12-29,ネオアイム島④,12,3,9,3,25.0,0,0
2025-12-29,ネオアイム島⑤,8,3,5,3,37.5,0,0
2025-12-29,ハッピ島,8,8,0,8,100.0,1,1
2025-12-29,ファン島①,10,1,9,1,10.0,0,0
2025-12-29,ファン島②,10,5,5,5,50.0,0,0
2025-12-29,マイジャグ島A,15,4,11,4,26.666666666666668,0,0
2025-12-29,マイジャグ島B,10,3,7,3,30.0,0,0
2025-12-29,マイジャグ島C,10,4,6,4,40.0,0,0
2025-12-29,マイジャグ島D,15,4,11,4,26.666666666666668,0,0
2025-12-29,ミスタ島,10,6,4,6,60.0,0,0
2025-12-29,ミラクル島,10,2,8,2,20.0,0,0
2026-01-09,ガール島,10,6,4,6,60.0,0,0
2026-01-09,ゴー島①,10,5,5,5,50.0,0,0
2026-01-09,ゴー島②,10,6,4,6,60.0,0,0
2026-01-09,ネオアイム島①,8,6,2,6,75.0,0,1
2026-01-09,ネオアイム島②,8,5,3,5,62.5,0,0
2026-01-09,ネオアイム島③,12,6,6,6,50.0,0,0
2026-01-09,ネオアイム島④,12,4,8,4,33.33333333333333,0,0
2026-01-09,ネオアイム島⑤,8,2,6,2,25.0,0,0
2026-01-09,ハッピ島,8,3,5,3,37.5,0,0
2026-01-09,ファン島①,10,1,9,1,10.0,0,0
2026-01-09,ファン島②,10,10,0,10,100.0,1,1
2026-01-09,マイジャグ島A,15,8,7,8,53.333333333333336,0,0
2026-01-09,マイジャグ島B,10,3,7,3,30.0,0,0
2026-01-09,マイジャグ島C,10,5,5,5,50.0,0,0
2026-01-09,マイジャグ島D,15,5,10,5,33.33333333333333,0,0
2026-01-09,ミスタ島,10,2,8,2,20.0,0,0
2026-01-09,ミラクル島,10,5,5,5,50.0,0,0
2026-01-19,ガール島,10,7,3,7,70.0,0,1
2026-01-19,ゴー島①,10,8,2,8,80.0,1,1
2026-01-19,ゴー島②,10,9,1,9,90.0,1,1
2026-01-19,ネオアイム島①,8,1,7,1,12.5,0,0
2026-01-19,ネオアイム島②,8,4,4,4,50.0,0,0
2026-01-19,ネオアイム島③,12,4,8,4,33.33333333333333,0,0
2026-01-19,ネオアイム島④,12,7,5,7,58.333333333333336,0,0
2026-01-19,ネオアイム島⑤,8,2,6,2,25.0,0,0
2026-01-19,ハッピ島,8,3,5,3,37.5,0,0
2026-01-19,ファン島①,10,10,0,10,100.0,1,1
2026-01-19,ファン島②,10,10,0,10,100.0,1,1
2026-01-19,マイジャグ島A,15,6,9,6,40.0,0,0
2026-01-19,マイジャグ島B,10,0,10,0,0.0,0,0
2026-01-19,マイジャグ島C,10,4,6,4,40.0,0,0
2026-01-19,マイジャグ島D,15,7,8,7,46.666666666666664,0,0
2026-01-19,ミスタ島,10,5,5,5,50.0,0,0
2026-01-19,ミラクル島,10,6,4,6,60.0,0,0
2026-01-29,ガール島,10,4,6,4,40.0,0,0
2026-01-29,ゴー島①,10,7,3,7,70.0,0,1
2026-01-29,ゴー島②,10,6,4,6,60.0,0,0
2026-01-29,ネオアイム島①,8,7,1,7,87.5,1,1
2026-01-29,ネオアイム島②,8,8,0,8,100.0,1,1
2026-01-29,ネオアイム島③,12,9,3,9,75.0,0,1
2026-01-29,ネオアイム島④,12,9,3,9,75.0,0,1
2026-01-29,ネオアイム島⑤,8,7,1,7,87.5,1,1
2026-01-29,ハッピ島,8,4,4,4,50.0,0,0
2026-01-29,ファン島①,10,7,3,7,70.0,0,1
2026-01-29,ファン島②,10,4,6,4,40.0,0,0
2026-01-29,マイジャグ島A,15,4,11,4,26.666666666666668,0,0
2026-01-29,マイジャグ島B,10,3,7,3,30.0,0,0
2026-01-29,マイジャグ島C,10,2,8,2,20.0,0,0
2026-01-29,マイジャグ島D,15,5,10,5,33.33333333333333,0,0
2026-01-29,ミスタ島,10,10,0,10,100.0,1,1
2026-01-29,ミラクル島,10,7,3,7,70.0,0,1
2026-02-09,ガール島,10,4,6,4,40.0,0,0
2026-02-09,ゴー島①,10,9,1,9,90.0,1,1
2026-02-09,ゴー島②,10,4,6,4,40.0,0,0
2026-02-09,ネオアイム島①,8,5,3,5,62.5,0,0
2026-02-09,ネオアイム島②,8,3,5,3,37.5,0,0
2026-02-09,ネオアイム島③,12,2,10,2,16.666666666666664,0,0
2026-02-09,ネオアイム島④,12,7,5,7,58.333333333333336,0,0
2026-02-09,ネオアイム島⑤,8,0,8,0,0.0,0,0
2026-02-09,ハッピ島,8,8,0,8,100.0,1,1
2026-02-09,ファン島①,10,4,6,4,40.0,0,0
2026-02-09,ファン島②,10,4,6,4,40.0,0,0
2026-02-09,マイジャグ島A,15,3,12,3,20.0,0,0
2026-02-09,マイジャグ島B,10,4,6,4,40.0,0,0
2026-02-09,マイジャグ島C,10,3,7,3,30.0,0,0
2026-02-09,マイジャグ島D,15,6,9,6,40.0,0,0
2026-02-09,ミスタ島,10,7,3,7,70.0,0,1
2026-02-09,ミラクル島,10,3,7,3,30.0,0,0
2026-02-19,ガール島,10,10,0,10,100.0,1,1
2026-02-19,ゴー島①,10,5,5,5,50.0,0,0
2026-02-19,ゴー島②,10,8,2,8,80.0,1,1
2026-02-19,ネオアイム島①,8,4,4,4,50.0,0,0
2026-02-19,ネオアイム島②,8,3,5,3,37.5,0,0
2026-02-19,ネオアイム島③,12,4,8,4,33.33333333333333,0,0
2026-02-19,ネオアイム島④,12,3,9,3,25.0,0,0
2026-02-19,ネオアイム島⑤,8,2,6,2,25.0,0,0
2026-02-19,ハッピ島,8,5,3,5,62.5,0,0
2026-02-19,ファン島①,10,4,6,4,40.0,0,0
2026-02-19,ファン島②,10,2,8,2,20.0,0,0
2026-02-19,マイジャグ島A,15,6,9,6,40.0,0,0
2026-02-19,マイジャグ島B,10,1,9,1,10.0,0,0
2026-02-19,マイジャグ島C,10,6,4,6,60.0,0,0
2026-02-19,マイジャグ島D,15,1,14,1,6.666666666666667,0,0
2026-02-19,ミスタ島,10,5,5,5,50.0,0,0
2026-02-19,ミラクル島,10,4,6,4,40.0,0,0
2026-03-09,ガール島,10,10,0,4,40.0,0,0
2026-03-09,ゴー島①,10,10,0,10,100.0,1,1
2026-03-09,ゴー島②,10,10,0,6,60.0,0,0
2026-03-09,ネオアイム島①,8,8,0,3,37.5,0,0
2026-03-09,ネオアイム島②,8,8,0,4,50.0,0,0
2026-03-09,ネオアイム島③,12,12,0,5,41.66666666666667,0,0
2026-03-09,ネオアイム島④,12,12,0,3,25.0,0,0
2026-03-09,ネオアイム島⑤,8,8,0,2,25.0,0,0
2026-03-09,ハッピ島,8,8,0,2,25.0,0,0
2026-03-09,ファン島①,10,10,0,3,30.0,0,0
2026-03-09,ファン島②,10,10,0,3,30.0,0,0
2026-03-09,マイジャグ島A,15,15,0,6,40.0,0,0
2026-03-09,マイジャグ島B,10,10,0,4,40.0,0,0
2026-03-09,マイジャグ島C,10,10,0,5,50.0,0,0
2026-03-09,マイジャグ島D,15,15,0,6,40.0,0,0
2026-03-09,ミスタ島,10,10,0,5,50.0,0,0
2026-03-09,ミラクル島,10,10,0,5,50.0,0,0
2026-03-19,ガール島,10,10,0,4,40.0,0,0
2026-03-19,ゴー島①,10,10,0,3,30.0,0,0
