島,days,strong,candidate,avg_high_rate,strong_rate,candidate_rate
マイジャグ島B,23,10,10,71.73913043478261,43.47826086956522,43.47826086956522
ガール島,23,6,7,54.78260869565217,26.08695652173913,30.434782608695656
ハッピ島,23,5,5,56.52173913043478,21.73913043478261,21.73913043478261
ネオアイム島⑤,23,4,4,43.47826086956522,17.391304347826086,17.391304347826086
ゴー島①,23,4,5,50.0,17.391304347826086,21.73913043478261
ファン島①,23,4,6,49.56521739130435,17.391304347826086,26.08695652173913
ゴー島②,23,4,4,53.47826086956522,17.391304347826086,17.391304347826086
ミスタ島,23,3,5,50.869565217391305,13.043478260869565,21.73913043478261
マイジャグ島A,23,3,6,53.04347826086956,13.043478260869565,26.08695652173913
ファン島②,23,2,3,46.52173913043478,8.695652173913043,13.043478260869565
ネオアイム島④,23,2,3,40.94202898550724,8.695652173913043,13.043478260869565
ネオアイム島②,23,2,4,48.369565217391305,8.695652173913043,17.391304347826086
ネオアイム島①,23,1,5,43.47826086956522,4.3478260869565215,21.73913043478261
ミラクル島,23,1,2,46.08695652173913,4.3478260869565215,8.695652173913043
ネオアイム島③,23,0,1,36.594202898550726,0.0,4.3478260869565215
マイジャグ島D,23,0,0,15.942028985507244,0.0,0.0
マイジャグ島C,23,0,0,16.08695652173913,0.0,0.0
